"","zip_code","Before_Property","After_Property","Before_Mural","After_Mural"
"1",19102,151824.583333333,349484,1,10
"3",19103,199094.583333333,496097.5,4,25
"5",19104,75582.6666666667,224286.333333333,7,66
"7",19106,179567.916666667,402940.333333333,67,16
"9",19107,136915.583333333,330824.083333333,4,42
"11",19111,86741.25,246687.666666667,43,5
"13",19114,96941.5833333333,265815,5,6
"15",19115,129129.083333333,304965.083333333,6,3
"17",19116,126119.583333333,320653.916666667,3,1
"19",19118,258701.333333333,689395.083333333,1,1
"21",19119,113508.25,330785.5,1,9
"23",19120,60839.4166666667,155533,9,9
"25",19121,36905.5,243079.666666667,9,63
"27",19122,43460,298173.916666667,4,48
"29",19123,114086.416666667,438084.666666667,50,45
"31",19124,47868.5833333333,148792.666666667,47,7
"33",19125,59735.5833333333,334821.333333333,4,34
"35",19126,106877.583333333,215784.666666667,34,3
"37",19127,90807.0833333333,296905.083333333,3,11
"39",19128,109954.583333333,315502.916666667,11,9
"41",19129,76322.5833333333,282318.916666667,9,3
"43",19130,134173.916666667,411564.333333333,3,33
"45",19131,65946.9166666667,173208.25,33,20
"47",19132,22404.5,75527.75,20,31
"49",19133,45730.8333333333,79633.9166666667,7,49
"51",19134,59305.5833333333,115978,3,23
"53",19135,57667.5,181229,25,9
"55",19136,70722.0833333333,211329.666666667,9,6
"57",19137,56285.8333333333,206285.5,6,1
"59",19138,56174.0833333333,184505.75,1,10
"61",19139,45763.9166666667,145341.25,10,22
"63",19140,24827.4166666667,88880,23,26
"65",19141,46902.6666666667,177615.25,1,10
"67",19142,52173.75,120080.916666667,10,6
"69",19143,62767,171427.083333333,6,37
"71",19144,77743.5833333333,194806.416666667,38,33
"73",19145,65172.25,271809.833333333,2,23
"75",19146,105364.583333333,386861.75,7,36
"77",19147,125163.583333333,448050.75,36,29
"79",19148,60584.5,266680.25,2,30
"81",19149,69533.4166666667,203902.333333333,30,2
"83",19150,104189,229991.583333333,2,1
"85",19151,59106.1666666667,191936.833333333,1,3
"87",19152,99034.75,268615.333333333,5,1
"89",19153,71048.5833333333,207104.583333333,1,2
"91",19154,96677.6666666667,271506.583333333,2,2
